student_id,family_code,student_name,session,class_id,section_id,gr_no,gender,religion,dob,date_of_admission,status,whatsapp_number,father_cell_no,mother_cell_no,home_cell_no,place_of_birth,state,city,email,father_name,mother_name,home_address,created_at,student_image,admission_fee,monthly_fee,cnic
1,FC7311,Norma Fisher,1,9,7,GR1001,Female,Hinduism,9/5/2010,8/15/2024,Inactive,664.475.9382x4219,911-957-8156x5938,540.580.1609x75351,328.671.1587,Jasmineside,Michigan,Port Carrie,sean96@example.com,Dylan Lopez,Lisa Douglas,"220 Rachael Village, Masseyhaven, KY 68893",4/11/2025 6:32,default_student_1.jpg,2466,1694,38631-9467240-3
2,FC5617,Sarah Jacobson,1,14,6,GR1002,Male,Hinduism,4/22/2016,11/4/2023,Active,001-947-775-1591,830.241.3525,323-509-8910,+1-391-961-5109x032,Lake Lauren,Utah,New Ronaldville,chad14@example.com,Antonio Mcdonald,Melissa Myers,"230 Megan Junctions Suite 197, North Thomas, MT 75095",4/11/2025 6:32,default_student_2.jpg,3989,651,99651-6539790-8
3,FC2649,Sylvia Banks,1,10,5,GR1003,Female,Sikhism,11/19/2012,5/29/2022,Inactive,(480)571-5084,001-575-794-5992x46610,(833)276-9606,(271)242-7878,Nguyenmouth,Arkansas,Lopezland,valeriemorales@example.net,Aaron Smith,Veronica Lowe,"93442 Thomas Locks, North Joshuamouth, AS 15676",4/11/2025 6:32,default_student_3.jpg,1255,1623,11840-2564842-7
4,FC1018,Brandi Meyer,1,8,6,GR1004,Male,Christianity,5/6/2017,3/24/2023,Active,724-700-0348,001-509-877-6582,001-340-722-4555,001-390-904-2294x56824,North Kyle,North Dakota,West Richardmouth,robert18@example.com,Ryan Cherry,Karen Lyons,"2296 Cameron Corner Apt. 306, North Philliphaven, LA 59292",4/11/2025 6:32,default_student_4.jpg,1977,791,81170-8515682-2
5,FC2318,Rachel Klein,1,6,6,GR1005,Female,Islam,12/20/2009,11/15/2023,Inactive,353-349-2635,001-408-373-1764x303,476.858.2197,+1-768-775-7738x9305,New Eddieview,Rhode Island,Port Nicholas,jennifer71@example.org,Thomas Jones,Elizabeth Blake,"75868 Audrey Springs, Lake Ronaldborough, LA 70679",4/11/2025 6:32,default_student_5.jpg,4336,1606,36634-5826088-8
6,FC2501,Jennifer Kaufman,1,14,5,GR1006,Female,Christianity,9/25/2019,7/31/2023,Active,+1-993-600-2489x451,866-460-2234x5007,991.425.6097x6701,5098925185,Rodriguezton,South Carolina,Mendezmouth,montesjennifer@example.com,Cameron Buck,Sydney Brennan,"306 Watson Field, Kellyland, AZ 05741",4/11/2025 6:32,default_student_6.jpg,4364,882,14321-5363019-8
7,FC2131,Dr. Tony Estrada,1,7,4,GR1007,Male,Sikhism,1/2/2016,2/10/2022,Inactive,818.886.8412,816-811-6207,2757415115,(220)635-1923x031,Hannahbury,Georgia,South Daniel,jasmine42@example.org,Mr. John Carter,Tina Fields,"89426 Sonya Unions, West William, IA 99441",4/11/2025 6:32,default_student_7.jpg,3137,982,38206-8036754-5
8,FC8382,Jaime Alvarado,1,6,6,GR1008,Male,Sikhism,7/10/2008,6/12/2020,Inactive,(311)526-4862x9645,658.906.6065x735,821-441-8927,001-666-223-7582x57173,Montgomerytown,Indiana,Dannyport,rogerpotter@example.org,Peter Hall,Diana Riggs,"46896 Garcia Glen, Justinborough, PA 11676",4/11/2025 6:32,default_student_8.jpg,4461,889,41855-1271942-5
9,FC2919,Ricky Torres,1,17,5,GR1009,Female,Sikhism,1/22/2012,4/12/2021,Active,832.816.4482x98381,001-944-475-9221x1669,-5498,+1-207-342-7093x0576,Lake Stacyfurt,Alabama,Blaketown,morgan43@example.org,Dwayne Garcia,Erin Jackson,"72852 Renee Mills Suite 667, Blairborough, NV 27274",4/11/2025 6:32,default_student_9.jpg,1412,799,38675-1758901-9
10,FC2212,Amber Price,1,15,5,GR1010,Male,Sikhism,4/4/2010,12/29/2020,Active,(650)723-9491,(270)288-6977x47354,5258040216,-10662,Barryview,Alaska,East Miguelborough,jacob34@example.net,Eric Black,Karen Wiggins,"107 Hardy Causeway Suite 777, North Christopherville, GU 20659",4/11/2025 6:32,default_student_0.jpg,2516,737,14769-1363000-4
